PO#,Amount Paid,Payment Reference,Payment Date,Payment Amount,Payment Type,Discount Percent Limit
PO000090262133,-265.2,951238,"Mar 10, 2022","6,179.26",ACH,20
PO000091335855,-311.69,,,,,
PO000091488987,259.9,,,,,
PO000091491440,259.9,,,,,
PO000091494627,259.9,,,,,
PO000091499248,518.71,,,,,
PO000091499597,"1,116.40",,,,,
PO000091501737,259.9,,,,,
PO000091505138,694.1,,,,,
PO000091505627,138.82,,,,,
PO000091511694,390.24,,,,,
PO000091500706,518.71,,,,,
PO000091494348,259.9,,,,,
PO000091486522,390.24,,,,,
PO000091517784,518.71,,,,,
PO000091487993,390.24,,,,,
PO000091496235,390.24,,,,,
PO000091496774,390.24,,,,,
